day,convrate,avspend,visits,Gsearchprod,online_purchases
2018-11-16,1.3279999999999998,153.57,75049,14773,33522.907999999996
2018-11-17,1.737,115.19,74950,14776,46407.828
2018-11-18,1.6789999999999998,124.53,75658,14792,39893.51
2018-11-19,1.487,128.2,75558,14742,38684.42999999999
2018-11-20,1.624,125.15,75098,14856,39861.318
2018-11-21,1.6509999999999998,133.82,74963,14785,39783.235
2018-11-22,1.577,133.54,74811,14821,38746.399000000005
2018-11-23,1.548,145.34,74860,14835,39493.13399999999
2018-11-24,2.016,102.10999999999999,74904,14738,51344.027
2018-11-25,1.9509999999999998,102.87,75217,14884,49134.217000000004
2018-11-26,1.506,133.82,74943,14920,38211.204
2018-11-27,1.666,117.66,74703,14725,41566.417
2018-11-28,1.7360000000000002,137.38,75008,14869,40090.988
2018-11-29,2.011,100.82,74775,14877,51876.20800000001
2018-11-30,1.459,131.86,75218,14998,38837.585999999996
2018-12-01,1.4909999999999999,138.14,75670,15088,40099.648
2018-12-02,1.494,137.05,75914,15007,36247.356
2018-12-03,1.7440000000000002,124.83999999999999,75374,14730,40788.568
2018-12-04,1.605,134.92,75577,15066,41801.546
2018-12-05,1.517,127.28,75391,14887,38659.384000000005
2018-12-06,1.867,114.00999999999999,75020,14829,44755.353
2018-12-07,1.278,150.2,74456,14816,30658.075
2018-12-08,1.6480000000000001,119.34,75405,15022,41641.551999999996
2018-12-09,2.21,90.63,75563,15002,55713.806
2018-12-10,1.429,142.65,75478,14919,37157.259000000005
2018-12-11,1.339,151.16,75668,14933,33821.375
2018-12-12,1.353,159.29,76483,15667,37385.638
2018-12-13,1.7860000000000003,118.61,76909,15359,45867.648
2018-12-14,1.8359999999999999,114.00999999999999,77100,15597,49810.018
2018-12-15,1.733,119.34,77379,15664,46432.653999999995
2018-12-16,1.605,128.49,78198,15808,44061.852
2018-12-17,1.5589999999999997,152.08,78060,15592,37231.34
2018-12-18,1.629,132.09,78051,15762,40219.88
2018-12-19,1.532,150.4,77979,15767,37460.937
2018-12-20,1.959,107.98,78063,15766,49984.167
2018-12-21,1.666,124.88999999999999,77793,15466,45485.306
2018-12-22,2.087,98.42,78016,15898,53719.221
2018-12-23,1.645,131.92000000000002,78629,15598,41904.475
2018-12-24,1.819,109.57999999999998,78113,15472,48837.053
2018-12-25,1.4289999999999998,159.9,78641,15704,35041.406
2018-12-26,1.6540000000000001,129.23000000000002,78735,15916,41805.792
2018-12-27,1.526,147.88,78616,15838,38267.431
2018-12-28,1.685,126.24,78493,15670,44742.331000000006
2018-12-29,1.75,121.97,78593,15579,45197.306
2018-12-30,1.928,106.45,78727,15520,49723.344
2018-12-31,1.98,116.42,79215,16021,50393.292
2019-01-01,1.4409999999999998,140.95000000000002,78191,15272,37325.443
2019-01-02,1.6949999999999998,130.44,77826,15138,42801.762
2019-01-03,2.001,92.78,77250,14975,52091.42599999999
2019-01-04,1.483,141.8,76781,15038,41355.903000000006
2019-01-05,1.61,125.54999999999998,76737,15200,43423.514
2019-01-06,1.599,132.79,76996,15202,38766.744999999995
2019-01-07,1.583,137.38,76699,15217,37514.016
2019-01-08,1.1589999999999998,168.66000000000003,76572,15162,30516.789999999997
2019-01-09,1.783,115.92,76727,15038,47308.773
2019-01-10,1.882,101.52999999999999,76302,15194,48577.596
2019-01-11,1.497,137.1,77014,15413,39325.162
2019-01-12,2.0850000000000004,96.14000000000001,76762,15417,53165.903000000006
2019-01-13,1.532,133.9,77422,15376,42486.562
2019-01-14,1.249,159.69,76716,15171,32248.576
2019-01-15,1.713,129.27,76143,14962,40296.935
2019-01-16,1.456,128.94,76167,15111,39554.706000000006
2019-01-17,1.6320000000000001,118.72999999999999,76198,15326,44641.5
2019-01-18,1.667,115.04999999999998,76135,15035,44433.061
2019-01-19,1.4060000000000001,152.32,76468,15353,33938.36
2019-01-20,1.846,110.78,77161,15184,45683.297000000006
2019-01-21,1.671,134.57999999999998,76936,15194,41137.829
2019-01-22,1.5710000000000002,136.41,76662,15274,40914.774
2019-01-23,1.7770000000000001,128.63,76156,15250,41997.406
2019-01-24,1.593,131.69,76133,15187,42483.285
2019-01-25,1.569,126.37,75869,15350,39298.873
2019-01-26,1.678,122.52000000000001,75804,15165,42723.448
2019-01-27,1.706,123.27999999999999,76299,15366,45991.350999999995
2019-01-28,1.415,145.13,76398,15390,36624.159
2019-01-29,1.4769999999999999,124.16,76682,15157,38886.308
2019-01-30,1.5699999999999998,135.17000000000002,76788,15291,38539.056
2019-01-31,1.5,133.87,76113,15075,37469.83500000001
2019-02-01,1.947,98.75,76238,15348,50460.356
2019-02-02,1.968,107.38,76739,15258,49685.834
2019-02-03,1.617,115.76,77379,15428,44045.797
2019-02-04,1.742,117.99,77194,15313,45316.057
2019-02-05,1.7429999999999999,112.45,76665,15289,44488.632
2019-02-06,1.769,107.97999999999999,76284,15288,46577.041999999994
2019-02-07,1.805,115.36999999999999,76285,15092,48421.768
2019-02-08,1.6480000000000001,125.60000000000001,76499,15490,43920.71399999999
2019-02-09,1.854,106.97,76414,15135,46802.478
2019-02-10,1.639,117.66,76741,15379,43306.804000000004
2019-02-11,1.581,143.75,76698,15258,39020.026
2019-02-12,1.779,114.59,76412,15230,46383.559
2019-02-13,1.725,120.78999999999999,76789,15529,45786.699
2019-02-14,1.503,131.57,76558,15353,39196.398
2019-02-15,1.6650000000000003,118.65,76703,15270,43241.803
2019-02-16,1.5010000000000001,142.66,76315,15230,38073.017
2019-02-17,1.659,122.99,76288,15375,43125.99800000001
2019-02-18,1.611,125.96,75965,15162,40990.697
2019-02-19,1.361,145.81,76329,15315,34992.999
2019-02-20,1.678,127.50999999999999,76493,15182,43013.966
2019-02-21,1.584,133.37,76608,15619,40506.345
2019-02-22,1.571,135.94,76823,15619,37467.030999999995
2019-02-23,1.798,114.52000000000001,77135,15519,47958.623999999996
2019-02-24,1.5950000000000002,142.37,77169,15462,41106.545000000006
2019-02-25,1.6420000000000003,127.18,76372,15261,41717.175
2019-02-26,1.723,114.16,77037,15357,43771.001000000004
2019-02-27,1.4500000000000002,140.95,77163,15262,38196.063
2019-02-28,1.541,130.04,76951,15444,38701.417
2019-03-01,1.658,121.64,76966,15586,42735.005
2019-03-02,1.928,103.74000000000001,76614,15236,49978.340000000004
2019-03-03,1.641,124.58,76816,15200,43160.816999999995
2019-03-04,1.384,150.93,76704,15342,34380.05
2019-03-05,1.542,145.36,76538,15182,38477.945999999996
2019-03-06,1.655,130.4,76367,15297,40156.055
2019-03-07,1.46,138.47,76319,15500,36316.137
2019-03-08,1.813,121.69999999999999,76429,15649,43328.552
2019-03-09,1.546,140.01,77147,15701,40523.793000000005
2019-03-10,1.327,149.24,78047,15567,34582.287
2019-03-11,1.8399999999999999,108.61999999999999,78001,15644,47284.918000000005
2019-03-12,1.548,138.14999999999998,77693,15425,41383.812
2019-03-13,1.438,134.46,77573,15508,38128.459
2019-03-14,1.8050000000000002,117.92,77341,15394,44776.549
2019-03-15,1.324,159.08,77195,15656,33079.067
2019-03-16,2.0460000000000003,98.99,77283,15404,52066.062000000005
2019-03-17,1.35,157.18,77863,15455,33629.25
2019-03-18,1.225,163.49,77358,15506,32083.443000000003
2019-03-19,1.8530000000000002,106.66999999999999,77312,15584,48043.166
2019-03-20,1.764,116.83000000000001,77300,15646,43356.118
2019-03-21,1.7760000000000002,118.77000000000001,77490,15787,44832.83500000001
2019-03-22,1.461,135.22,77445,15581,40724.797
2019-03-23,1.709,123.97,77435,15438,42613.848
2019-03-24,1.384,142.15,78140,15731,34701.304
2019-03-25,1.421,151.16,77860,15418,33573.984
2019-03-26,1.734,121.77000000000001,77693,15469,44880.58899999999
2019-03-27,1.824,110.66,77553,15706,48852.224
2019-03-28,1.807,129.35000000000002,77236,15555,42845.988
2019-03-29,2.052,97.93,77098,15619,53800.692
2019-03-30,1.588,125.43,77105,15620,40437.696
2019-03-31,1.342,161.06,77959,15604,33826.931
2019-04-01,1.641,138.51,77391,15338,40981.077
2019-04-02,1.851,109.61,77624,15886,46844.586
2019-04-03,1.5060000000000002,141.75,77909,15725,37740.932
2019-04-04,1.475,140.31,77654,15537,35596.063
2019-04-05,1.5020000000000002,130.07,77300,15531,39786.244
2019-04-06,1.721,123.84,77620,15817,47469.474
2019-04-07,1.5989999999999998,131.77,78370,15626,42779.013
2019-04-08,1.276,158.55,78377,15883,33069.796
2019-04-09,1.502,129.89999999999998,78139,15659,40112.194
2019-04-10,1.8530000000000002,106.87,77889,15585,48991.663
2019-04-11,1.875,99.56,78007,16005,48996.914
2019-04-12,1.8599999999999999,108.94,77831,15618,49988.142
2019-04-13,1.694,112.77,78177,15840,45113.013999999996
2019-04-14,1.674,122.16000000000001,78704,15715,45284.979999999996
2019-04-15,1.7120000000000002,119.1,78166,15603,44992.068
2019-04-16,1.4829999999999999,143.54000000000002,77896,16004,36790.24
2019-04-17,1.5060000000000002,130.45,77631,15931,39220.098
2019-04-18,1.484,144.8,77791,15701,35221.508
2019-04-19,1.2280000000000002,160.56,77717,15814,31402.544
2019-04-20,1.3090000000000002,148.31,77775,15639,33228.679000000004
2019-04-21,1.6600000000000001,124.19999999999999,78403,15877,43667.242
2019-04-22,2.093,94.75,78432,16001,55216.594
2019-04-23,1.518,131.34,78312,15885,40303.757
2019-04-24,1.192,175.07999999999998,78038,15667,30762.782
2019-04-25,1.496,139.07999999999998,78209,15877,40412.936
2019-04-26,1.7839999999999998,119.59,78264,15831,46894.65899999999
2019-04-27,1.4549999999999998,140.01,78502,15743,36692.299
2019-04-28,2.06,99.99,78975,15765,52770.422999999995
2019-04-29,1.266,167.84999999999997,78209,15817,32515.932
2019-04-30,1.6889999999999998,117.41,78366,15868,45070.37299999999
2019-05-01,1.8479999999999999,113.89,78602,15904,46367.473999999995
2019-05-02,1.589,131.32,78491,15927,41850.391
2019-05-03,1.9789999999999999,101.88000000000001,78469,15759,52538.221999999994
2019-05-04,1.571,139.71,78600,15943,38211.564
2019-05-05,1.687,124.41,79180,15814,41664.041
2019-05-06,1.775,115.6,78664,15794,45221.832
2019-05-07,2.008,99.1,78545,15816,54143.20999999999
2019-05-08,1.764,121.9,78110,15609,45652.706000000006
2019-05-09,1.508,129.8,78505,16071,43140.653
2019-05-10,1.9649999999999999,110.21000000000001,78494,15763,49005.544
2019-05-11,1.979,101.55000000000001,78266,15916,50919.52099999999
2019-05-12,2.0,103.44,79026,15882,50969.299
2019-05-13,1.285,164.38000000000002,78810,15871,32529.744
2019-05-14,1.6420000000000001,131.83,78850,15739,43539.445
2019-05-15,1.9729999999999999,111.75,78684,15764,49986.402
2019-05-16,1.4060000000000001,138.48000000000002,79038,16294,37635.627
2019-05-17,2.117,93.73,78649,15629,55715.735
2019-05-18,1.484,150.8,78268,15696,37922.257
2019-05-19,1.729,114.96000000000001,78527,15725,47104.422000000006
2019-05-20,1.706,128.53,78848,16029,43214.291
2019-05-21,1.3719999999999999,148.83,78168,15866,34000.979999999996
2019-05-22,1.483,129.85,78357,15723,38185.57
2019-05-23,1.7079999999999997,122.21,78516,15779,45585.584
2019-05-24,1.551,132.61,78708,16176,39087.704
2019-05-25,1.335,152.98000000000002,78506,15635,35793.038
2019-05-26,1.5270000000000001,132.36,79565,16109,39393.315
2019-05-27,1.561,124.5,79597,15809,41437.664
2019-05-28,1.65,142.08,79316,15952,41455.242999999995
2019-05-29,1.447,156.9,79049,15941,36631.869
2019-05-30,1.5339999999999998,130.06,79086,16108,41984.50199999999
2019-05-31,1.921,108.13,78592,15735,52346.15000000001
2019-06-01,1.505,141.49,78816,15916,42942.04
2019-06-02,1.692,121.63000000000001,79818,16270,46660.164000000004
2019-06-03,1.5410000000000001,137.59,79763,16081,38605.90700000001
2019-06-04,1.627,123.47999999999999,79205,15935,41506.66100000001
2019-06-05,1.6079999999999999,130.18,79136,16077,40478.252
2019-06-06,1.668,119.83999999999999,79195,16051,45248.615
2019-06-07,1.851,103.88,78657,15956,49071.035
2019-06-08,1.739,118.86,78485,16076,48252.466
2019-06-09,1.4979999999999998,143.07999999999998,79664,16433,40955.46799999999
2019-06-10,1.5749999999999997,122.84,79157,16109,40894.763999999996
2019-06-11,1.486,166.49,78841,16227,38822.19
2019-06-12,1.7900000000000003,112.71,79315,16218,49420.394
2019-06-13,1.418,149.67000000000002,79037,15904,35153.191000000006
2019-06-14,1.617,130.54,78820,16177,41276.668000000005
2019-06-15,1.307,164.74,79138,16130,32931.53
2019-06-16,1.766,112.22999999999999,79413,15961,48855.899
2019-06-17,1.6239999999999999,121.80000000000001,79256,16080,45384.865
2019-06-18,1.532,126.44,79259,16073,42089.104
2019-06-19,1.764,114.72,79133,16071,45228.145000000004
2019-06-20,1.796,116.9,78472,15713,45376.911
2019-06-21,1.5440000000000003,128.54,78972,16472,40806.967000000004
2019-06-22,1.808,112.76,78860,15932,48971.382
2019-06-23,1.673,119.42999999999999,79611,16196,44466.035
2019-06-24,1.669,130.86,79330,15991,41148.41
2019-06-25,1.49,152.63,79569,16268,36306.68
2019-06-26,1.394,144.1,79977,16588,38140.898
2019-06-27,1.411,147.63,79228,16001,36166.422
2019-06-28,1.568,148.84,79330,16254,40958.047999999995
2019-06-29,1.613,121.42999999999999,78984,16020,44084.208
2019-06-30,1.979,97.52,79063,16074,52717.395000000004
2019-07-01,1.775,119.62,78892,16049,46101.42
2019-07-02,1.763,109.3,78983,16151,45449.301999999996
2019-07-03,1.596,140.02,79439,16187,42579.672999999995
2019-07-04,1.58,127.05,79226,16013,41383.597
2019-07-05,1.706,116.03999999999999,78872,16246,44072.725000000006
2019-07-06,1.5939999999999999,132.64999999999998,78627,16198,41172.234
2019-07-07,1.4619999999999997,145.09,79034,16230,36734.344999999994
2019-07-08,1.7730000000000001,116.51,79036,16212,44818.30100000001
2019-07-09,1.697,132.47,78963,16124,41785.327000000005
2019-07-10,1.7790000000000001,112.61,79147,16531,48152.062999999995
2019-07-11,1.663,117.11000000000001,79272,16224,44641.407
2019-07-12,1.727,108.35,79364,16276,47423.379
2019-07-13,1.327,163.81,79083,15996,32800.536
2019-07-14,2.041,96.98,79721,16228,53852.059
2019-07-15,1.865,115.89,79681,16167,46510.873
2019-07-16,2.0789999999999997,97.76,79084,16100,54215.437999999995
2019-07-17,1.831,114.66,79171,16280,46520.89199999999
2019-07-18,1.679,129.89999999999998,79376,16264,41623.642
2019-07-19,1.6280000000000001,129.12,79311,16013,44072.315
2019-07-20,1.352,152.25,79348,16256,36850.58
2019-07-21,1.427,137.47,79690,16184,41039.028999999995
2019-07-22,1.475,143.8,79680,16225,42468.03
2019-07-23,1.286,166.95,79347,16398,32070.589999999997
2019-07-24,1.315,158.17000000000002,79153,16195,34754.657
2019-07-25,1.44,142.14,79307,16450,36042.324
2019-07-26,1.395,143.76,79202,16288,38511.039
2019-07-27,1.6880000000000002,127.11999999999999,79610,16340,42082.618
2019-07-28,1.7280000000000002,117.11,79945,16337,45634.253000000004
2019-07-29,1.5610000000000002,133.35,80408,16373,45453.42
2019-07-30,1.566,130.99,80389,16558,42670.412
2019-07-31,1.9640000000000002,105.12,80319,16574,51254.66100000001
2019-08-01,1.4609999999999999,134.82,80661,16315,38988.121
2019-08-02,1.8599999999999999,115.97,80315,16372,47590.17
2019-08-03,1.675,118.74000000000001,80090,16393,46768.01
2019-08-04,1.843,109.53,80893,16558,49597.101
2019-08-05,1.589,144.93,80344,16590,41175.002
2019-08-06,1.87,107.03999999999999,80459,16393,51433.710999999996
2019-08-07,1.654,127.19,80319,16337,42474.706000000006
2019-08-08,1.4829999999999999,133.87,80150,16233,41915.611999999994
2019-08-09,1.4649999999999999,148.76000000000002,79408,16007,37386.21
2019-08-10,1.9169999999999998,103.97,79750,16307,51913.83099999999
2019-08-11,1.5110000000000001,132.37,80063,16219,42320.841
2019-08-12,1.6270000000000002,132.35,80169,16373,42245.992000000006
2019-08-13,2.1609999999999996,96.25999999999999,79959,16245,57269.852999999996
2019-08-14,1.6809999999999998,116.91,80004,16307,46467.669
2019-08-15,1.305,149.75,80277,16604,36637.969
2019-08-16,1.6179999999999999,131.31,80339,16491,45683.705
2019-08-17,1.503,145.38,80359,16665,40221.96399999999
2019-08-18,1.556,129.8,80419,16191,40380.754
2019-08-19,1.654,126.24,80648,16508,46165.44
2019-08-20,1.803,113.24000000000001,80522,16260,50105.740000000005
2019-08-21,1.7640000000000002,114.34,80223,16392,47001.903000000006
2019-08-22,1.505,134.57,80425,16584,40320.045999999995
2019-08-23,1.5739999999999998,136.64,80301,16359,41356.513999999996
2019-08-24,1.5150000000000001,130.91,80113,16368,40546.383
2019-08-25,1.7200000000000002,113.51,81055,16600,47688.581000000006
2019-08-26,1.436,143.63,80628,16441,38005.574
2019-08-27,1.616,129.73,80650,16544,43223.248999999996
2019-08-28,1.345,156.23000000000002,80794,16720,33935.937999999995
2019-08-29,1.72,116.88,81182,16802,46264.059
2019-08-30,1.7590000000000001,115.82000000000001,81176,16635,50827.01400000001
2019-08-31,1.847,107.71000000000001,81018,16548,50879.41499999999
2019-09-01,1.5690000000000002,128.92,81599,16589,42017.288
2019-09-02,1.9000000000000001,111.89999999999999,81159,16426,49724.739
2019-09-03,1.6400000000000001,130.16,80767,16562,43039.236000000004
2019-09-04,1.79,116.84,80733,16627,50889.731
2019-09-05,1.895,111.58,80675,16237,49298.715000000004
2019-09-06,1.724,116.27,80567,16453,46054.32399999999
2019-09-07,1.554,139.66000000000003,80692,16531,38885.502
2019-09-08,1.72,117.78999999999999,81184,16496,49089.884999999995
2019-09-09,1.599,137.86,81526,16845,42323.165
2019-09-10,1.541,129.11,80753,16512,43147.337
2019-09-11,1.323,151.8,80764,16738,34096.86
2019-09-12,1.762,118.54,80088,16400,45929.69899999999
2019-09-13,1.729,112.07999999999998,80671,16739,48026.41
2019-09-14,1.851,105.97,80478,16540,49664.806000000004
2019-09-15,1.775,113.44,80409,16263,48244.274999999994
2019-09-16,1.5110000000000001,147.83999999999997,80208,16511,41104.994000000006
2019-09-17,1.5959999999999999,125.38999999999999,79960,16687,44729.808000000005
2019-09-18,1.233,176.44,80157,16487,31492.880000000005
2019-09-19,1.9169999999999998,109.14,80212,16433,49151.864
2019-09-20,1.6629999999999998,129.85999999999999,80201,16731,44957.456999999995
2019-09-21,1.847,112.36,80298,16442,49578.848
2019-09-22,1.8199999999999998,119.99,80999,16714,48358.843
2019-09-23,1.709,129.12,81416,16806,47677.24800000001
2019-09-24,1.463,145.48,81246,16691,40713.066
2019-09-25,1.662,124.11,81065,16571,48378.894
2019-09-26,1.9609999999999999,102.56,81286,16691,54458.02099999999
2019-09-27,1.736,117.92,81195,16692,48886.553
2019-09-28,1.462,144.54,81196,16692,37821.088
2019-09-29,1.27,165.35,81297,16635,32861.808
2019-09-30,1.523,130.42,81655,16865,40720.119
2019-10-01,1.621,124.02,81114,16672,43142.213
2019-10-02,1.796,121.06,81390,16787,51797.36000000001
2019-10-03,1.656,125.42,81230,16767,47161.354
2019-10-04,1.47,150.06,81575,16790,39853.227
2019-10-05,1.745,123.04,80802,16629,49198.628
2019-10-06,1.8169999999999997,104.97,80994,16617,50820.657999999996
2019-10-07,1.529,150.56,80764,16579,37825.943
2019-10-08,1.539,131.04000000000002,80830,16853,40467.162000000004
2019-10-09,1.581,129.09,81189,16671,40662.837
2019-10-10,1.3860000000000001,145.63,80674,16697,38986.918000000005
2019-10-11,1.472,133.66,80899,16708,39738.206999999995
2019-10-12,1.363,152.24,81334,16599,35297.221000000005
2019-10-13,1.3130000000000002,158.49,81907,16978,36591.905
2019-10-14,1.6239999999999999,130.52,81996,16656,43016.152
2019-10-15,2.064,99.75,81994,16831,58068.406
2019-10-16,1.509,133.34,81683,16791,40752.693
2019-10-17,1.6580000000000001,123.36,81559,16769,44844.664000000004
2019-10-18,1.4520000000000002,141.53,81495,16916,42141.606
2019-10-19,1.3559999999999999,151.67000000000002,81697,16933,36058.013999999996
2019-10-20,1.9260000000000002,101.31,82214,16813,54738.939
2019-10-21,1.972,108.95,81780,16680,52597.606
2019-10-22,1.521,139.84,81378,16752,43643.649999999994
2019-10-23,1.6679999999999997,122.63,81246,16766,47771.28
2019-10-24,1.49,148.93,81373,17045,39565.358
2019-10-25,1.275,164.19,81522,16750,36436.835999999996
2019-10-26,1.617,117.22,80906,16821,45120.348
2019-10-27,1.4849999999999999,137.47,81827,17159,39470.168
2019-10-28,1.77,109.72999999999999,81945,16817,49378.992999999995
2019-10-29,1.7599999999999998,132.63,81774,16928,44749.595
2019-10-30,1.564,128.05,81349,16941,44462.14600000001
2019-10-31,1.642,142.19,81232,16835,40963.44
2019-11-01,1.6869999999999998,114.28999999999999,80745,16823,46008.428
2019-11-02,1.7160000000000002,132.79999999999998,81140,16978,45353.963
2019-11-03,1.6329999999999998,122.38,81779,16975,45713.94899999999
2019-11-04,1.5100000000000002,141.1,81567,16881,40549.985
2019-11-05,1.6800000000000002,135.0,81819,17007,42785.835999999996
2019-11-06,1.3800000000000001,147.74,81760,16864,36299.286
2019-11-07,1.5700000000000003,136.95999999999998,81937,16994,39543.208
2019-11-08,1.399,135.71,81591,16833,39498.827999999994
2019-11-09,1.9200000000000002,109.8,81954,17120,50144.073000000004
2019-11-10,1.7530000000000001,116.9,82856,17070,47591.353
2019-11-11,1.575,131.07,82414,17280,46188.949
2019-11-12,1.332,142.47,81990,16752,37786.803
2019-11-13,1.553,145.8,81851,16674,40592.382
2019-11-14,1.7970000000000002,119.02,82355,17069,48099.948000000004
2019-11-15,1.482,132.55,82185,17031,43319.05
2019-11-16,1.736,113.77000000000001,81853,17046,49203.95
2019-11-17,1.7759999999999998,112.05,82567,16852,49732.312
2019-11-18,1.8049999999999997,104.04,82526,17173,50272.399999999994
2019-11-19,1.706,125.69,81985,16849,45495.065
2019-11-20,1.761,111.01,82147,17193,49783.021
2019-11-21,1.44,138.91,81989,17259,41281.729
2019-11-22,1.5850000000000002,127.3,81925,16810,42344.469000000005
2019-11-23,1.791,110.86,82239,16942,49842.696
2019-11-24,1.488,149.10999999999999,82682,16936,40946.293999999994
2019-11-25,1.423,144.94,82601,17107,41502.85
2019-11-26,1.5670000000000002,136.28,82344,17063,41825.09
2019-11-27,1.99,95.9,82177,16940,55314.893000000004
2019-11-28,1.7249999999999999,114.39999999999999,82093,17327,46519.723
2019-11-29,1.531,144.64,81928,16872,38378.57
2019-11-30,1.501,134.12,82210,17096,39266.868
2019-12-01,1.694,131.04,82857,17234,44402.45
2019-12-02,1.7329999999999999,121.19,82987,17116,46476.070999999996
2019-12-03,1.5950000000000002,146.89,83621,17216,41522.469000000005
2019-12-04,1.567,137.52,83837,17289,42664.912000000004
2019-12-05,1.574,152.71,83543,17247,42692.718
2019-12-06,1.8370000000000002,124.71,83409,17004,48966.509000000005
2019-12-07,1.937,107.71000000000001,83459,17214,56162.797000000006
2019-12-08,1.795,115.72,83661,16994,49269.195
2019-12-09,1.807,116.05000000000001,84098,17277,50189.252
2019-12-10,1.5370000000000001,133.23,83706,16943,43105.976
2019-12-11,1.551,140.83,83783,17478,46123.244999999995
2019-12-12,1.625,142.44,84846,17829,45769.947
2019-12-13,1.907,119.89,85229,17723,52800.232
2019-12-14,1.9809999999999999,115.37,85804,17620,57907.374
2019-12-15,1.5510000000000002,143.92000000000002,86496,17557,43437.347
2019-12-16,1.932,121.06,86691,17929,53773.337
2019-12-17,1.604,135.52,86955,17766,48690.345
2019-12-18,1.7559999999999998,144.14000000000001,87330,18125,47896.636
2019-12-19,1.9289999999999998,120.31,87681,18103,56091.504
2019-12-20,1.409,155.17000000000002,87601,17922,42773.207
2019-12-21,1.832,123.1,87112,17784,55633.543999999994
2019-12-22,1.6310000000000002,138.60999999999999,87837,18167,50709.057
2019-12-23,1.696,126.69,87942,18052,49777.82000000001
2019-12-24,1.86,116.18,87618,17848,54079.242
2019-12-25,1.713,142.29,86576,17828,47681.739
2019-12-26,1.706,133.05,86612,17869,46452.208000000006
2019-12-27,1.733,128.51,86951,18049,49999.616
2019-12-28,1.658,153.48999999999998,86186,17665,44417.258
2019-12-29,1.145,173.72,86318,17874,33547.504
2019-12-30,1.74,117.24000000000001,86299,17826,49735.090000000004
2019-12-31,1.68,125.77,86297,17836,51402.486
2020-01-01,1.443,153.3,85286,17594,41296.686
2020-01-02,1.5319999999999998,132.61,84618,17304,42938.118
2020-01-03,1.911,111.96,83829,17157,52886.839
2020-01-04,1.9860000000000002,106.96000000000001,83427,17179,53500.16300000001
2020-01-05,1.844,109.88,83885,17324,52097.515999999996
2020-01-06,1.6949999999999998,133.34,83536,17290,46030.62299999999
2020-01-07,1.602,123.97,83358,17361,42503.434
2020-01-08,1.432,144.58,82838,17220,38236.162
2020-01-09,1.479,146.32000000000002,83009,17573,40600.934
2020-01-10,1.661,127.72,83450,17319,43956.181
2020-01-11,1.6,138.72,82990,17290,41722.56
2020-01-12,1.875,108.24000000000001,83440,17422,50634.25
2020-01-13,1.5379999999999998,127.35,83225,17332,45173.514
2020-01-14,1.427,148.25,83432,17343,38427.22
2020-01-15,1.71,130.81,83331,17257,44078.156
2020-01-16,1.278,161.35,83372,17343,35269.765
2020-01-17,1.7309999999999999,115.56,83338,17364,49297.258
2020-01-18,1.593,124.05,83327,17444,44773.007
2020-01-19,1.4249999999999998,141.62,83306,17390,40365.655
2020-01-20,1.7550000000000001,118.29,83461,17511,48542.76700000001
2020-01-21,1.976,112.52,82963,17216,52737.941000000006
2020-01-22,1.582,135.8,83567,17488,41381.401000000005
2020-01-23,1.971,112.97,83802,17735,52639.096000000005
2020-01-24,1.988,99.64,83598,17615,56264.319
2020-01-25,1.946,103.03999999999999,83710,17483,54958.993
2020-01-26,1.6349999999999998,132.84,84034,17450,44864.721
2020-01-27,1.735,118.03999999999999,83396,17410,48743.102000000006
2020-01-28,2.024,103.33,83363,17540,56354.844
2020-01-29,1.517,144.13,83453,17537,39501.789
